"country","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Germany",37325.05,37262.35,36977.35,37418.09,37703.93,39143.17,40473.53,40989.44,38784.45,40428.72,42692.52,42822.1,42914.48,43666.77,44043.18,44668.7,45462.03,45959.36,46172.58,46743.98
"South Korea",21530.26,22997.19,23549.37,24605.53,25516.82,26697.03,28013.7,28588.37,28642.84,30352.1,31228.51,31776.9,32548.72,33425.69,34177.65,35020.41,35938.37,36776.52,37343.16,38016.84
"United States",45662.93,46029.2,46941,48275.39,49512.93,50437.81,50897.73,50349.72,48644.15,49479.25,49883.11,50632.44,51208.89,52080.79,53187.57,53631.76,54470.8,55681.05,56657.35,57530.09
